,Name,Team,Rating,Career_best_rating
0,Lizelle Lee,SA,773," 773 v India, 14/03/2021 "
1, Tammy Beaumont ,ENG,765,"          765 v New Zealand, 28/02/2021  "
2, Meg Lanning ,AUS,749,"          834 v New Zealand, 24/02/2016  "
3, Stafanie Taylor ,WI,746,"          765 v India, 02/03/2012  "
4, Alyssa Healy ,AUS,741,"          741 v New Zealand, 07/10/2020  "
5, Amy Satterthwaite ,NZ,740,"          756 v Australia, 02/03/2017  "
6, Smriti Mandhana ,IND,719,"          797 v England, 28/02/2019  "
7, Laura Wolvaardt ,SA,699,"          725 v India, 07/03/2021  "
8, Mithali Raj ,IND,693,"          839 v Australia, 24/12/2004  "
9, Ellyse Perry ,AUS,691,"          766 v West Indies, 11/09/2019  "
