,Brand,Description,Original Price,Discount,Discounted Price
0,ELISEO,Sneakers For Men,₹999,43% off,₹569
1,ELISEO,Sneakers For Men,₹999,43% off,₹569
2,Chevit,Perfect & Affordable Combo Pack of 02 Pairs Sneakers Ou...,"₹1,798",72% off,₹499
3,Robbie jones,Casual Sneakers Shoes For Men Sneakers For Men,₹999,60% off,₹399
4,Chevit,Combo Pack of 4 Casual Sneakers With Sneakers For Men,"₹1,996",76% off,₹474
5,Chevit,Super & Trendy Men's Pack of 02 Pair Shoes for Boys Cas...,"₹1,998",78% off,₹420
6,Chevit,Men's Combo Pack of 02 Shoes for Men Casual Sneakers Ou...,₹998,57% off,₹420
7,ORICUM,Combo pack of 2 casual sneaker shoes for men Sneakers F...,₹998,60% off,₹398
8,aadi,Sneakers For Men,₹999,70% off,₹298
9,Shoes Bank,White Sneaker For Men's/Boy's Sneakers For Men,₹999,65% off,₹349
10,Robbie jones,Sneakers For Men,₹999,50% off,₹499
11,Chevit,Smart Casuals Canvas Shoes Combo pack of 2 Sneakers For...,₹998,67% off,₹322
12,Red Rose,Sneakers For Men,₹999,62% off,₹379
13,Chevit,Latest & Stylish Design Combo Pack of 2 Pairs Sneakers ...,"₹1,298",53% off,₹599
14,Magnolia,White Sneakers Sneakers For Men,₹999,67% off,₹323
15,Chevit,494 Perfect Sports Shoes for Running Training Hikking &...,₹999,74% off,₹254
16,"""trend""",Fashionable casual sneakers shoes for men Sneakers For ...,"₹3,999",88% off,₹479
17,believe,Sneakers for men(black_6) Sneakers For Men,₹999,57% off,₹423
18,Chevit,171 Smart Tan Lace-Ups Casuals for Men Sneakers For Men,₹499,57% off,₹211
19,Extoes,Modern Trendy Shoes Combo pack of 4 Sneakers For Men,"₹1,497",46% off,₹795
20,Stefano Rads,"Casual , Partywear Sneakers Shoes For Men's And Boys Wh...",₹699,65% off,₹242
21,D-SNEAKERZ,Sneakers Sneakers For Men,₹659,44% off,₹367
22,SCATCHITE,casual for men (beige 06) Sneakers For Men,₹999,60% off,₹398
23,bluemaker,Sneakers For Men,₹999,50% off,₹499
24,Numenzo,casual for men (blue 06) Sneakers For Men,₹999,60% off,₹398
25,bluemaker,shoes for boys Sneakers For Men,₹999,50% off,₹499
26,Raftar,Rockstyle Trending Multicolor Ultralight canvas Sport/ ...,₹999,68% off,₹311
27,Echor,Colourblocked Trending Multicolor Ultralight canvas Spo...,₹999,42% off,₹570
28,Ktiz,Combo Pack of 4 Latest Collection Stylish Casual Loafer...,"₹1,299",67% off,₹418
29,oxpeo,Sneakers For Men,₹999,58% off,₹419
30,World Wear Footwear,Synthetic Leather Casual Partywear Wedding Sneakers Sho...,"₹2,640",82% off,₹449
31,TR,Trendy Sneakers For Men,"₹1,999",70% off,₹599
32,T-ROCK,Sneakers For Men,₹999,61% off,₹386
33,Magnolia,516 Trendy Star Perfect Sneakers For Men,₹999,63% off,₹367
34,HOTSTYLE,Fashion Outdoor Canvas Casual Light Weight Partywear Sn...,₹499,60% off,₹199
35,Wika,Sneakers For Men,₹999,55% off,₹449
36,Chevit,Casual sneakers shoes for men Sneakers For Men,₹799,57% off,₹339
37,BLACK BOTTOM,Men's Stylish Casual Shoes Sneakers For Men,₹999,55% off,₹449
38,ROCKFIELD,Men's Combo Pack of 02 Shoes for Men Casual Sneakers Ou...,₹999,63% off,₹360
39,Peelu,shoe Sneakers For Men,₹999,40% off,₹599
40,Zsyto,Casual Sneakers Shoes For Men Sneakers For Men,"₹1,299",75% off,₹315
41,"""trend""",5011-Latest Collection Stylish Casual Loafer Sneakers S...,"₹3,999",88% off,₹479
42,Birde,"Casual , Partywear Sneakers Shoes For Men's And Boys Wh...",₹499,40% off,₹299
43,Chevit,Sneakers For Men,₹998,57% off,₹420
44,Airland,Speed Set of 5 Pairs Sneakers Outdoors Casuals for Men ...,₹499,48% off,₹258
45,Robbie jones,Sneakers For Men,₹999,50% off,₹499
46,World Wear Footwear,Latest & Stylish Design Combo Pack of 2 Pairs Sneakers ...,₹499,51% off,₹240
47,D-SNEAKERZ,Sneakers For Men,₹999,61% off,₹384
48,Ktiz,Combo Men Pack of 2 Loafers Shoes Sneakers For Men,₹999,60% off,₹399
49,ELISEO,Sneakers For Men,₹999,43% off,₹569
50,Chevit,Sneakers For Men,"₹2,495",69% off,₹759
51,Bonexy,Modern Trendy Shoes Combo pack of 4 Sneakers For Men,₹999,54% off,₹450
52,Zorth,Combo Pack of 2 Latest Collection Stylish Casual Loafer...,₹999,30% off,₹699
53,Chevit,"Casual shoes,Sneakers for men's,shoes for men's Sneaker...","₹1,298",53% off,₹599
54,ESSENCE,Sneakers For Men,₹999,55% off,₹442
55,SHOEFLY,"Combo pack of 2 casual, sneaker and loafer shoes for me...",₹998,73% off,₹269
56,A ANTIC MOP,Smart Casuals Canvas Shoes Combo pack of 2 Sneakers For...,₹999,57% off,₹420
57,LEATHERKRAFT,Affordable Combo Pack of 03 Pairs Sneakers Outdoor Loaf...,₹999,70% off,₹299
