,Brand,Description,Original Price,Discount,Discounted Price
0,Badfella,"Polarized, UV Protection Retro Square Sunglasses (53)",₹999,73% off,₹269
1,ROYAL SON,UV Protection Over-sized Sunglasses (65),"₹1,499",55% off,₹664
2,Fastrack,UV Protection Rectangular Sunglasses (Free Size),₹799,16% off,₹666
3,Fastrack,"Mirrored, UV Protection Wayfarer Sunglasses (Free Size)",₹999,50% off,₹499
4,PIRASO,UV Protection Aviator Sunglasses (54),"₹1,599",85% off,₹225
5,PIRASO,UV Protection Aviator Sunglasses (Free Size),"₹1,599",78% off,₹349
6,Fastrack,UV Protection Wayfarer Sunglasses (Free Size),₹899,18% off,₹733
7,ROZZETTA CRAFT,UV Protection Retro Square Sunglasses (Free Size),"₹2,225",77% off,₹499
8,Fastrack,"Gradient, UV Protection Wayfarer Sunglasses (Free Size)",₹799,15% off,₹674
9,phenomenal,"UV Protection, Mirrored Retro Square Sunglasses (53)","₹1,999",80% off,₹399
10,Singco India,"UV Protection, Polarized Aviator Sunglasses (Free Size)",₹699,71% off,₹202
11,PIRASO,UV Protection Aviator Sunglasses (54),"₹1,599",85% off,₹225
12,Silver Kartz,UV Protection Wayfarer Sunglasses (Free Size),"₹1,499",83% off,₹246
13,ROYAL SON,UV Protection Rectangular Sunglasses (Free Size),"₹1,499",66% off,₹499
14,ROZZETTA CRAFT,"UV Protection, Gradient Rectangular Sunglasses (Free Si...","₹1,999",79% off,₹404
15,Singco India,UV Protection Round Sunglasses (Free Size),₹999,80% off,₹195
16,phenomenal,UV Protection Retro Square Sunglasses (Free Size),"₹1,999",80% off,₹399
17,Fastrack,UV Protection Aviator Sunglasses (58),"₹1,299",16% off,"₹1,091"
18,Fastrack,UV Protection Wayfarer Sunglasses (Free Size),₹899,6% off,₹837
19,ROYAL SON,UV Protection Retro Square Sunglasses (88),"₹1,999",70% off,₹599
20,Fastrack,UV Protection Wayfarer Sunglasses (56),₹899,15% off,₹759
21,Fastrack,"Gradient, UV Protection Wayfarer Sunglasses (Free Size)",₹799,15% off,₹674
22,Fastrack,UV Protection Aviator Sunglasses (58),"₹1,299",14% off,"₹1,115"
23,ROYAL SON,Polarized Aviator Sunglasses (58),"₹1,999",64% off,₹711
24,HIPPON,UV Protection Wayfarer Sunglasses (55),"₹1,199",79% off,₹251
25,DEIXELS,UV Protection Round Sunglasses (Free Size),₹799,75% off,₹199
26,Fastrack,UV Protection Round Sunglasses (Free Size),₹999,5% off,₹940
27,Fastrack,UV Protection Aviator Sunglasses (Free Size),₹799,9% off,₹725
28,PIRASO,UV Protection Wayfarer Sunglasses (32),"₹1,599",85% off,₹225
29,ROYAL SON,UV Protection Aviator Sunglasses (60),"₹1,999",64% off,₹711
30,Singco India,UV Protection Aviator Sunglasses (Free Size),"₹1,199",72% off,₹329
31,phenomenal,"UV Protection, Mirrored Clubmaster Sunglasses (Free Siz...","₹1,998",85% off,₹299
32,NuVew,UV Protection Aviator Sunglasses (57),₹785,75% off,₹195
33,ROYAL SON,UV Protection Wayfarer Sunglasses (Free Size),"₹1,999",66% off,₹664
34,Fastrack,"UV Protection, Mirrored Retro Square Sunglasses (Free S...",₹899,15% off,₹759
35,phenomenal,UV Protection Retro Square Sunglasses (Free Size),"₹1,999",80% off,₹399
36,ROZZETTA CRAFT,UV Protection Wayfarer Sunglasses (Free Size),"₹2,252",77% off,₹499
37,DEIXELS,UV Protection Oval Sunglasses (56),₹499,57% off,₹211
38,Silver Kartz,UV Protection Aviator Sunglasses (Free Size),"₹1,199",75% off,₹299
39,ROYAL SON,"UV Protection, Gradient Retro Square Sunglasses (62)","₹1,299",61% off,₹499
40,ROZZETTA CRAFT,UV Protection Retro Square Sunglasses (Free Size),"₹1,999",75% off,₹499
41,PIRASO,UV Protection Rectangular Sunglasses (Free Size),"₹2,599",86% off,₹359
42,Fastrack,"Mirrored, UV Protection Wayfarer Sunglasses (Free Size)",₹799,16% off,₹666
43,Fastrack,UV Protection Aviator Sunglasses (54),₹999,50% off,₹499
44,PIRASO,UV Protection Aviator Sunglasses (Free Size),"₹1,599",85% off,₹225
45,PIRASO,UV Protection Wayfarer Sunglasses (Free Size),"₹1,599",78% off,₹349
46,Fastrack,UV Protection Retro Square Sunglasses (Free Size),₹899,18% off,₹733
47,ROZZETTA CRAFT,"Gradient, UV Protection Wayfarer Sunglasses (Free Size)","₹2,225",77% off,₹499
48,Fastrack,"UV Protection, Mirrored Retro Square Sunglasses (53)",₹799,15% off,₹674
49,phenomenal,"UV Protection, Polarized Aviator Sunglasses (Free Size)","₹1,999",80% off,₹399
50,Singco India,UV Protection Aviator Sunglasses (54),₹699,71% off,₹202
51,PIRASO,UV Protection Wayfarer Sunglasses (Free Size),"₹1,599",85% off,₹225
52,Silver Kartz,UV Protection Butterfly Sunglasses (60),"₹1,499",83% off,₹246
53,PIRASO,"UV Protection, Gradient Rectangular Sunglasses (Free Si...","₹2,599",86% off,₹359
54,ROZZETTA CRAFT,UV Protection Round Sunglasses (Free Size),"₹1,999",79% off,₹404
55,Singco India,UV Protection Retro Square Sunglasses (Free Size),₹999,80% off,₹195
56,phenomenal,UV Protection Aviator Sunglasses (58),"₹1,999",80% off,₹399
57,Fastrack,UV Protection Wayfarer Sunglasses (Free Size),"₹1,299",16% off,"₹1,091"
58,Fastrack,UV Protection Retro Square Sunglasses (Free Size),₹899,6% off,₹837
