,Movie_name,Rating,Year_of_Release
0,Pather Panchali,8.5,(1955)
1,Gol Maal,8.5,(1979)
2,Nayakan,8.5,(1987)
3,Anbe Sivam,8.5,(2003)
4,Drishyam 2,8.5,(2021)
5,Apur Sansar,8.5,(1959)
6,Kireedam,8.4,(1989)
7,Natsamrat,8.4,(2016)
8,Pariyerum Perumal,8.4,(2018)
9,Black Friday,8.4,(2004)
10,Manichitrathazhu,8.4,(1993)
11,Thevar Magan,8.4,(1992)
12,96,8.4,(2018)
13,Ratsasan,8.4,(2018)
14,Kumbalangi Nights,8.4,(2019)
15,3 Idiots,8.4,(2009)
16,Taare Zameen Par,8.3,(2007)
17,Visaaranai,8.3,(2015)
18,Thalapathi,8.3,(1991)
19,Aparajito,8.3,(1956)
20,Jaane Bhi Do Yaaro,8.3,(1983)
21,Pyaasa,8.3,(1957)
22,Asuran,8.3,(2019)
23,Guide,8.3,(1965)
24,Anand,8.3,(1971)
25,Kannathil Muthamittal,8.3,(2002)
26,Jersey,8.2,(2019)
27,Chupke Chupke,8.2,(1975)
28,Kaithi,8.2,(2019)
29,Drishyam,8.2,(2013)
30,Thani Oruvan,8.2,(2015)
31,Vikram Vedha,8.2,(2017)
32,Vada Chennai,8.2,(2018)
33,Soorarai Pottru,8.2,(2020)
34,Peranbu,8.2,(2018)
35,Aruvi,8.2,(2016)
36,Khosla Ka Ghosla!,8.2,(2006)
37,Super Deluxe,8.2,(2019)
38,Agent Sai Srinivasa Athreya,8.2,(2019)
39,Mahanati,8.2,(2018)
40,Tumbbad,8.2,(2018)
41,Andhadhun,8.2,(2018)
42,Kaakkaa Muttai,8.2,(2014)
43,Premam,8.2,(2015)
44,Dhuruvangal Pathinaaru,8.2,(2016)
45,Satya,8.2,(1998)
46,Shahid,8.2,(2012)
47,Bangalore Days,8.2,(2014)
48,Mudhalvan,8.1,(1999)
49,Soodhu Kavvum,8.1,(2013)
50,Anniyan,8.1,(2005)
51,Gangs of Wasseypur,8.1,(2012)
52,Papanasam,8.1,(2015)
53,Jigarthanda,8.1,(2014)
54,Bhaag Milkha Bhaag,8.1,(2013)
55,"Swades: We, the People",8.1,(2004)
56,Paan Singh Tomar,8.1,(2012)
57,Talvar,8.1,(2015)
58,Sholay,8.1,(1975)
59,Hera Pheri,8.1,(2000)
60,Sairat,8.1,(2016)
61,Drishyam,8.1,(2015)
62,Nil Battey Sannata,8.1,(2015)
63,Black,8.1,(2005)
64,Chak De! India,8.1,(2007)
65,Pithamagan,8.1,(2003)
66,Jo Jeeta Wohi Sikandar,8.1,(1992)
67,Charulata,8.1,(1964)
68,Mughal-E-Azam,8.1,(1960)
69,Ustad Hotel,8.1,(2012)
70,Udaan,8.1,(2010)
71,Rang De Basanti,8.1,(2006)
72,Queen,8.1,(2013)
73,Zindagi Na Milegi Dobara,8.1,(2011)
74,Article 15,8.1,(2019)
75,A Wednesday,8.1,(2008)
76,Munna Bhai M.B.B.S.,8.1,(2003)
77,Dil Chahta Hai,8.1,(2001)
78,Sarfarosh,8.1,(1999)
79,Masaan,8.1,(2015)
80,Andaz Apna Apna,8.1,(1994)
81,Maheshinte Prathikaaram,8.1,(2016)
82,OMG: Oh My God!,8.1,(2012)
83,Roja,8.1,(1992)
84,Lagaan: Once Upon a Time in India,8.1,(2001)
85,Alai Payuthey,8.1,(2000)
86,Kahaani,8.1,(2012)
87,Theeran adhigaaram ondru,8.1,(2017)
88,Baasha,8.1,(1995)
89,PK,8.1,(2014)
90,Uri: The Surgical Strike,8.1,(2018)
91,Iqbal,8.1,(2005)
92,Lucia,8.0,(2013)
93,Pink,8.0,(2016)
94,Barfi!,8.0,(2012)
95,The Legend of Bhagat Singh,8.0,(2002)
96,Bommarillu,8.0,(2006)
97,Maqbool,8.0,(2003)
98,Bombay,8.0,(1995)
99,Omkara,8.0,(2006)
