,Movie_name,Rating,Year_of_Release
0,The Shawshank Redemption,9.3,(1994)
1,The Godfather,9.2,(1972)
2,The Dark Knight,9.0,(2008)
3,The Godfather: Part II,9.0,(1974)
4,12 Angry Men,9.0,(1957)
5,The Lord of the Rings: The Return of the King,8.9,(2003)
6,Pulp Fiction,8.9,(1994)
7,Schindler's List,8.9,(1993)
8,Inception,8.8,(2010)
9,Fight Club,8.8,(1999)
10,The Lord of the Rings: The Fellowship of the Ring,8.8,(2001)
11,Forrest Gump,8.8,(1994)
12,"Il buono, il brutto, il cattivo",8.8,(1966)
13,The Lord of the Rings: The Two Towers,8.7,(2002)
14,The Matrix,8.7,(1999)
15,Goodfellas,8.7,(1990)
16,Star Wars: Episode V - The Empire Strikes Back,8.7,(1980)
17,One Flew Over the Cuckoo's Nest,8.7,(1975)
18,Gisaengchung,8.6,(2019)
19,Interstellar,8.6,(2014)
20,Cidade de Deus,8.6,(2002)
21,Sen to Chihiro no kamikakushi,8.6,(2001)
22,Saving Private Ryan,8.6,(1998)
23,The Green Mile,8.6,(1999)
24,La vita è bella,8.6,(1997)
25,Se7en,8.6,(1995)
26,The Silence of the Lambs,8.6,(1991)
27,Star Wars,8.6,(1977)
28,Seppuku,8.6,(1962)
29,Shichinin no samurai,8.6,(1954)
30,It's a Wonderful Life,8.6,(1946)
31,Hamilton,8.5,(2020)
32,Whiplash,8.5,(2014)
33,The Intouchables,8.5,(2011)
34,The Prestige,8.5,(2006)
35,The Departed,8.5,(2006)
36,The Pianist,8.5,(2002)
37,Gladiator,8.5,(2000)
38,American History X,8.5,(1998)
39,The Usual Suspects,8.5,(1995)
40,Léon,8.5,(1994)
41,The Lion King,8.5,(1994)
42,Terminator 2: Judgment Day,8.5,(1991)
43,Nuovo Cinema Paradiso,8.5,(1988)
44,Hotaru no haka,8.5,(1988)
45,Back to the Future,8.5,(1985)
46,Once Upon a Time in the West,8.5,(1968)
47,Psycho,8.5,(1960)
48,Casablanca,8.5,(1942)
49,Modern Times,8.5,(1936)
50,City Lights,8.5,(1931)
51,Capharnaüm,8.4,(2018)
52,Joker,8.4,(2019)
53,Kimi no na wa.,8.4,(2016)
54,Dangal,8.4,(2016)
55,Spider-Man: Into the Spider-Verse,8.4,(2018)
56,Avengers: Endgame,8.4,(2019)
57,Avengers: Infinity War,8.4,(2018)
58,Coco,8.4, (2017)
59,Django Unchained,8.4,(2012)
60,The Dark Knight Rises,8.4,(2012)
61,Zack Snyder's Justice League,8.4,(2021)
62,3 Idiots,8.4,(2009)
63,Taare Zameen Par,8.4,(2007)
64,WALL·E,8.4,(2008)
65,The Lives of Others,8.4,(2006)
66,Oldeuboi,8.4,(2003)
67,Memento,8.4,(2000)
68,Mononoke-hime,8.4,(1997)
69,Once Upon a Time in America,8.4,(1984)
70,Raiders of the Lost Ark,8.4,(1981)
71,The Shining,8.4,(1980)
72,Apocalypse Now,8.4,(1979)
73,Alien,8.4,(1979)
74,Tengoku to jigoku,8.4,(1963)
75,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,(1964)
76,Witness for the Prosecution,8.4,(1957)
77,Paths of Glory,8.4,(1957)
78,Rear Window,8.4,(1954)
79,Sunset Blvd.,8.4,(1950)
80,The Great Dictator,8.4,(1940)
81,Jagten,8.3,(2012)
82,Inglourious Basterds,8.3,(2009)
83,Eternal Sunshine of the Spotless Mind,8.3,(2004)
84,Requiem for a Dream,8.3,(2000)
85,American Beauty,8.3,(1999)
86,Good Will Hunting,8.3,(1997)
87,Toy Story,8.3,(1995)
88,Braveheart,8.3,(1995)
89,Reservoir Dogs,8.3,(1992)
90,Aliens,8.3,(1986)
91,Amadeus,8.3,(1984)
92,Star Wars: Episode VI - Return of the Jedi,8.3,(1983)
93,Das Boot,8.3,(1981)
94,2001: A Space Odyssey,8.3,(1968)
95,Vertigo,8.3,(1958)
96,Singin' in the Rain,8.3,(1952)
97,Citizen Kane,8.3,(1941)
98,M - Eine Stadt sucht einen Mörder,8.3,(1931)
99,The Kid,8.3,(1921)
