,Title,Company Name,Location,Experience
0,Data Scientist,Vivek Manthan Foundation,Delhi,0-1 Years
1,Data Analyst / Fresher / Data Scientist / Graduate MNA Fresher - MNC - 9717266846,Structured Learning Assistance Consultants India Private Limited,"Delhi, Noida",0-5 Years
2,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 8745833047 | 9999340492,Structured Learning Assistance Consultants India Private Limited,"Delhi, Gurgaon / Gurugram",0-5 Years
3,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC -7065337397 | 9717266846,Structured Learning Assistance Consultants India Private Limited,"Delhi, Gurgaon / Gurugram",0-5 Years
4,Data Scientist - Machine Learning,Structured Learning Assistance Consultants India Private Limited,"Delhi, Gurgaon / Gurugram",3-6 Years
5,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 8745833047 | 7065337397,Structured Learning Assistance Consultants India Private Limited,"Delhi, Gurgaon / Gurugram",0-5 Years
6,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Gurgaon / Gurugram",0-5 Years
7,Data Analyst – Fresher – Data Scientist – Graduate - Fresher 7303778896,Structured Learning Assistance Consultants India Private Limited,"Delhi, Noida",0-5 Years
8,Data Analyst – Fresher – Data Scientist – Graduate - Fresher 8077828639 | 7303778896,Structured Learning Assistance Consultants India Private Limited,"Delhi, Gurgaon / Gurugram",0-5 Years
9,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 8218334341 | 8077828639,Structured Learning Assistance Consultants India Private Limited,"Delhi, Noida",0-5 Years
10,Data Analyst – Fresher – Data Scientist – Graduate - Fresher 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Noida",0-5 Years
11,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Noida",1-7 Years
12,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Gurgaon / Gurugram",0-5 Years
13,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Ghaziabad",0-5 Years
14,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Gurgaon / Gurugram",0-5 Years
15,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Ghaziabad",0-5 Years
16,Data Analyst – Fresher – Data Scientist – Graduate - Fresher 7303778896 | 9560245147 | 6397800351,Shri N R Steel Trading Co,"Delhi, Gurgaon / Gurugram",0-5 Years
17,Data Entry Operator/Data Entry Executive,Metro Jobs Consultants,"Delhi, Gurgaon / Gurugram",0-3 Years
18,"Data Management Specialist, Data Entry, Data Executive",SnapHunt Pte Ltd,"Delhi, Faridabad",1-2 Years
19,Data Engineer,Esther Jeevitha (Proprietor of Morgan Techno India),Delhi,2-5 Years
20,Data administration Data Entry / home based job,Metro Jobs Consultants,"Delhi, Aligarh",Fresher
21,"Part Time Jobs, Work From Home Jobs, Online Data Entry Jobs, Data Entry Job, Online Jobs, Data Entry",Meksa Enterprises,"Delhi, Mumbai, Mumbai City, Navi Mumbai, Thane",0-5 Years
22,"Online Data Entry Jobs, Work From Home, Part Time Job, Data Entry, Online Typing Job, Data Entry Job",Hire Zone Solution,"Delhi, Pune",0-5 Years
23,Data Entry,Hire Zone Solution,"Delhi, Gurgaon / Gurugram",0-1 Years
24,Data Entry,Hire Zone Solution,Delhi,0-1 Years
25,Data Entry Operator,Hire Zone Solution,Delhi,1-3 Years
