,Brand name,Short description,Price
0,Nike,Men AIR ZOOM Running Shoes,Rs. 10796Rs. 13495(20% OFF)
1,PUMA Motorsport,Unisex Mercedes Running Shoes,Rs. 7999
2,Nike,Men KD13 EP Basketball Shoes,Rs. 12995
3,Nike,Men REACT MILER Running Shoes,Rs. 8796Rs. 10995(20% OFF)
4,Nike,Men REACT MILER PRM Running,Rs. 9996Rs. 12495(20% OFF)
5,Nike,Women AIR ZOOM Running Shoes,Rs. 7496Rs. 9995(25% OFF)
6,Nike,Men JORDAN DELTA Basketball,Rs. 12495
7,Nike,AIR ZOOM PEGASUS Running Shoes,Rs. 11495
8,Nike,Women REACT Running Shoes,Rs. 8996Rs. 11995(25% OFF)
9,Bugatti,Men Textured Leather Formal Loafers,Rs. 7999
10,Nike,Men JOYRIDE Running Shoes,Rs. 11246Rs. 14995(25% OFF)
11,Nike,Women AIR ZOOM Running,Rs. 10796Rs. 13495(20% OFF)
12,Nike,Women AIR ZOOM Running Shoes,Rs. 8236Rs. 10295(20% OFF)
13,Nike,Men React Infinity Running,Rs. 11621Rs. 15495(25% OFF)
14,Nike,Women Running Shoes,Rs. 8396Rs. 11995(30% OFF)
15,Puma,Men SPEED 500 2 Running Shoes,Rs. 6999Rs. 9999(30% OFF)
16,Bugatti,Men Solid Casual Sneakers,Rs. 8999
17,Puma,Men Mesh Fuse Training Or Gym Shoes,Rs. 7999
18,UNDER ARMOUR,HOVR Guardian 2 Sports Shoes,Rs. 11999
19,Puma,SPEED Orbiter Running Shoes,Rs. 7799Rs. 12999(40% OFF)
20,Skechers,Men VIPER COMPETITOR Training,Rs. 6999
21,ASICS,Men Synthetic Running Shoes,Rs. 9999Rs. 19999(50% OFF)
22,UNDER ARMOUR,Men Liquify Running Shoes,Rs. 10999
23,UNDER ARMOUR,Charged Impulse Running Shoes,Rs. 7999
24,ADIDAS Originals,Men NITE JOGGER Sneakers,Rs. 11199Rs. 13999(20% OFF)
25,Hush Puppies,Men Leather Slip-On Shoes,Rs. 6999
26,UNDER ARMOUR,Men Charged Impulse Knit,Rs. 8999
27,Bugatti,Men Perforated Mule Sneakers,Rs. 6999
28,Nike,Men JORDAN DELTA Sneakers,Rs. 10995
29,Hush Puppies,Men Formal Derbys,Rs. 9999
30,UNDER ARMOUR,HOVR Sonic 3 Running Shoes,Rs. 10999
31,Bugatti,Men Solid Leather Formal Derbys,Rs. 9999
32,ADIDAS Originals,Men Superstar Sneakers,Rs. 8799Rs. 10999(20% OFF)
33,Tommy Hilfiger,Men Heritage Leather Sneakers,Rs. 6749Rs. 8999(25% OFF)
34,UNDER ARMOUR,Charged Rogue 2 Wide 2E Shoes,Rs. 7999
35,Skechers,Women D'LITES 3.0 Sneakers,Rs. 6999
36,Hush Puppies,Men Colourblocked Driving Shoes,Rs. 8999
37,Geox,Men Leather Formal Derbys,Rs. 11490
38,Hush Puppies,Men Solid Leather Formal Slip-Ons,Rs. 9999
39,Geox,Men Leather Formal Slip-Ons,Rs. 9490
40,Geox,Women Leather Block Heels,Rs. 9990
41,Geox,Men Leather Formal Slip-Ons,Rs. 8999
42,Hush Puppies,Men Solid Leather Formal Slip-Ons,Rs. 8999
43,DAVINCHI,Ustraa black,Rs. 8990
44,Ruosh,Men Textured Derbys,Rs. 8990
45,DAVINCHI,Men Formal Leather Slip-Ons,Rs. 8990
46,Heel & Buckle London,Men Textured Leather Penny Loafers,Rs. 8792Rs. 10990(20% OFF)
47,Nike,Women AIR MAX VIVA Sneakers,Rs. 10620Rs. 12495(15% OFF)
48,UNDER ARMOUR,HOVR Sonic 3 Running Shoes,Rs. 10999
49,UNDER ARMOUR,Women HOVR Rise 2 Training,Rs. 9999
50,UNDER ARMOUR,Women HOVR Rise 2 Training,Rs. 9999
51,UNDER ARMOUR,Women Liquify Rebel Running,Rs. 8999
52,UNDER ARMOUR,Women Charged Breathe TR 2,Rs. 7999
53,Heel & Buckle London,Men Leather Formal Oxfords,Rs. 7693Rs. 10990(30% OFF)
54,Florsheim,Men Solid Leather Formal Derbys,Rs. 6995
55,UNDER ARMOUR,Women TriBase Reign 2 Training,Rs. 11999
56,Hush Puppies,Men Leather Formal Derbys,Rs. 6999
57,Ruosh,Men Leather Slip-On Shoes,Rs. 6990
58,Heel & Buckle London,,Rs. 7192Rs. 8990(20% OFF)
59,Ruosh,Men Leather Slip-On Shoes,Rs. 6990
60,Nike,NIKE DBREAK Sneakers,Rs. 6795Rs. 7995(15% OFF)
61,Ruosh,Men Solid Leather Formal Monks,Rs. 6990
62,Ruosh,Men Formal Brogues,Rs. 6990
63,Ruosh,Men Leather Formal Brogues,Rs. 6990
64,Puma,Men Running Shoes,Rs. 7499
65,H&M,Women Suede Boots,Rs. 6999
66,FILA,Men Running Shoes,Rs. 8499
67,Geox,Men Leather Driving Shoes,Rs. 9999
68,Geox,Men Leather Driving Shoes,Rs. 9499
69,KIPRUN By Decathlon,Women Running Shoes,Rs. 7006Rs. 7149(2% OFF)
70,UNDER ARMOUR,Men HOVR CTW Sneakers,Rs. 8499Rs. 9999(15% OFF)
71,Heel & Buckle London,Men Leather Sneakers,Rs. 6993Rs. 9990(30% OFF)
72,Cole Haan,Men Wingtip Oxford Sneakers,Rs. 12999
73,Geox,Men Leather Sneakers,Rs. 9999
74,Geox,Men Leather Driving Shoes,Rs. 7999
75,Xtep,Men Running Shoes,Rs. 9349Rs. 10999(15% OFF)
76,UNDER ARMOUR,Men Liquify Running Shoes,Rs. 10999
77,Ruosh,Men Textured Leather Monks,Rs. 6990
78,Clarks,Men Leather Derbys,Rs. 6749Rs. 8999(25% OFF)
79,Tommy Hilfiger,Men Solid Sneakers,Rs. 6749Rs. 8999(25% OFF)
80,VIONIC,Men Textured Sneakers,Rs. 7039Rs. 10999(36% OFF)
