,Title,Location,Company name,Experience required,Job Description
0,Data Scientist,Bangalore/Bengaluru,CronJ IT Technologies Private Limited,6-8 Yrs," Responsibilities and Duties
Create innovative solutions using data across sales, health care and related fields for building object detection models, classification models, recommendation engine, sentiment analysis etc.
Familiarity with deep learning algorithms and frameworks like TensorFlow, Pytorch, Keras.
Good to go with NLP and NLTK
Day-to-day responsibilities include use, customize and create algorithms/models for specific tasks in data science.
Get exposed to and work on cutting-edge products based on ML and AI to create innovative industry solutions.
Work on real-life projects involving Computer Vision, NLP and other AI techniques,
Using innovative ideas to collect, curate or synthesize data.
Model the problem into an ML/DL framework.
Deploy models to real time staging servers.
Flexibility in working independently and do needful research whenever required.
Required Experience, Skills and Qualifications
Knowledge of Python
Knowledge in libraries like OpenCV, Scikit Learn, NumPy etc.
Scripting
Understanding of different frameworks like Pytorch, TensorFlow, Keras etc.
Knowledge on NLP
Good Knowledge on OOP and programing in python adapting to requirement
Understanding of AWS.
Understanding of any annotation tool.
Ability to write robust and testable code.
Strong knowledge in computer science fundamentals, algorithms, mathematics, linear algebra, probability and statistics.
Strong communication skills.
An analytical mind with problem-solving abilities.
Degree in Computer Science, Mathematics, Computational Linguistics or similar field.
RoleTrainee
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Key Skills
TensorflowJavaC++CphythonData StructuresArtificial IntelligenceMachine LearningMATLABsoftware DeveloperNLPAlgorithmsFresherComputer VisionLinear Algebra"
1,Opportunity For Data Scientist Internship - Bengaluru,Bangalore/Bengaluru,Corner Stone Solutions,0-0 Yrs," Location - Bangalore / Bengaluru
Duration- 6 Months
Responsibilities and Duties
Create innovative solutions using data across sales, health care and related fields for building object detection models, chatbots, classification models etc.
Familiarity with deep learning algorithms and frameworks like Pytorch, Keras, TensorFlow.
Good to go with NLP and NLTK
Day-to-day responsibilities include use, customize and create algorithms for specific tasks in data science.
Get exposed to and work on cutting-edge products based on ML and AI to create innovative industry solutions..
Work on real-life projects involving Computer Vision, NLP and other AI techniques,
Using innovative ideas to collect, curate or synthesize data.
Model the problem into an ML/DL framework.
Deploy models to real time staging servers.
Flexibility in working independently and do needful research whenever required.
Required Experience, Skills and Qualifications
Knowledge of Python
Knowledge in libraries like OpenCV, Scikit Learn, NumPy etc.
Understanding of different frameworks like Pytorch, TensorFlow, Keras etc.
Knowledge on NLP
Good Knowledge on OOP and programing in python adapting to requirement
Understanding of aws
Understanding of any annotation tool
Ability to write robust and testable code.
Strong knowledge in computer science fundamentals, algorithms, mathematics, linear algebra, probability and statistics.
Strong communication skills.
An analytical mind with problem-solving abilities.
Degree in Computer Science, Mathematics, Computational Linguistics or similar field.
Qualification:

Looking for IIT, IIIT IISc, NIT, BIT & Equivalent colleges (Preferred)
RoleSoftware Developer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Temporary/Contractual
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :M.Tech in Any Specialization
Key Skills
NLPOpencvArtificial Intelligence
Data ScienceRtensorflowAlgorithmsMATLABLinear AlgebraPython
Skills highlighted with ‘‘ are preferred keyskills"
2,Data Scientist - Machine Learning,Bangalore/Bengaluru,AugmatrixGo,0-2 Yrs," Roles and Responsibilities


- Selecting features, building and optimizing classifiers using machine learning techniques

- Data mining using state-of-the-art methods

- Enhancing data collection procedures to include information that is relevant for building analytic systems

- Processing, cleansing, and verifying the integrity of data used for analysis

- Doing ad-hoc analysis and presenting results in a clear manner

- Creating automated anomaly detection systems and constant tracking of its performance

Skills Required :

- Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.

- Experiences with one or more of the following is highly desirable: HPC/Parallelization, operationalizing ML models; cloud computing (e.g. Google Cloud, AWS, etc.); familiarity with ML frameworks such as Tensorflow, Theano, MXNet, etc

- Good experience in a few of the following areas: deep neural networks, reinforcement learning, Markov Random Fields, Bayesian networks, semi-supervised learning, computer vision, image processing, signal processing, distributed computing, and/or numerical optimization

- 2+ years of experience with computer vision and deep learning solutions, including image classification, object detection, segmentation, and equivalent computer vision-based vision tasks

- Experience with common data science toolkits, such as R, Weka, NumPy, etc . Excellence in at least one of these is highly desirable

- Proficiency in using query languages such as SQL, Hive, Pig

- Good applied statistics skills, such as distributions, statistical testing, regression, etc.

- Good scripting and programming skills

- Data-oriented personality

- B.Tech/M.Tech degree in from reputed institutes like IIT / NIT / BITS
RoleData Analyst
Industry TypeIT-Software, Software Services
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI
Education
UG :B.Tech/B.E. in Any Specialization
PG :M.Tech in Any Specialization
Doctorate :Doctorate Not Required
Key Skills
HiveRCloud ComputingData ScientistComputer VisionMachine LearningDeep LearningSQLPig"
3,Data Scientist || Data Analyst || Data science,"Navi Mumbai, Bangalore/Bengaluru",Inspiration Manpower Consultancy Pvt. Ltd.,4-8 Yrs,"  Job Summary and Key Responsibilities
Manage, architect, and analyze big data to build data driven business insights and high impact data models to generate significant business value. Create models and processes to collect, distill and interpret data with a view to aid better, more informed decision making. Examine and explore data from multiple disparate sources with the goal of discovering insights which in turn can provide competitive advantage for our stakeholders.
The role involves but not limited to the following:
Create insights from predictive statistical modeling, mathematical knowledge, tools, and techniques to solve complex problems and deliver value
Collaborate with Accenture teams to address business issues and influence change using strategy, industry, and analytical skills
Deliver large-scale programs that integrate processes with technology to help clients achieve high performance
Mining and EDA of large datasets to assist in developing analytics solution
Individual contributor and/or oversees a small work effort
Work with minimal supervision on daily tasks and moderate level of instruction on new assignments
Key Skills
Must Have
Analytical skills
Knowledge of statistical techniques and machine learning algorithms
Knowledge of analysis tools like R, Python
Advanced Excel, PowerPoint skills
Advanced communication (written and oral) and strong interpersonal skills
Ability to work cross-culturally
Good to have
Knowledge on Google Cloud Platform
Human Resources experience
Additional Accenture HR systems experience
Understanding of Text analysis, VBA, Java, Python, .Net and visualization tools like Qliksense, Qlikview, Tableau will be an added advantage
Interested Candidates


Please Contact: Geethanjali
9900044693
hr1@inspirationmanpower.co.in

RoleData Analyst
Industry TypeBPO, Call Centre, ITeS
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI
Education
UG :Any Graduate in Any Specialization
Key Skills
Data ScienceJavaREDAStatistical ModelingData AnalysisBig DataTableauMachine LearningPython"
4,Data Scientist - IBM Garage,"Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru",IBM India Pvt. Limited,1-2 Yrs,Not Available
5,GAMMA Lead Data Scientist,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru",Boston Consulting Group,2-7 Yrs,"   Practice Area Profile
BCG GAMMA combines innovative skills in computer science, artificial intelligence, statistics, and machine learning with deep industry expertise. The BCG GAMMA team is comprised of world-class data scientists and business consultants who specialize in the use of advanced analytics to get breakthrough business results. Our teams own the full analytics value-chain end to end: framing new business challenges, building fact-bases, designing innovative algorithms, creating scale through designing tools and apps, and training colleagues and clients in new solutions. Here at BCG GAMMA, you ll have the chance to work with clients in every BCG region and every industry area. We are also a core member of a rapidly growing analytics enterprise at BCG - a constellation of teams focused on driving practical results for BCG clients by applying leading edge analytics approaches, data, and technology.
What Youll Do
We are seeking a strong candidate with advanced analytics experience to fill an exciting Lead Data Scientist (LDS) position within BCG Gamma. The LDS is a valuable expert in Data Science and Analytics and will design and build analytics methodologies, solutions, and products to deliver value to BCGs clients in collaboration with case teams. Exceptional candidates will also show an analytical curiosity, going beyond the immediate requirements of the project to find deep insights that others have missed. They will ask questions about outliers, seek to understand the fundamental drivers of advantage and look for clues that may change the basis of competition.
The LDS will be involved in all aspects of advanced analytics, from helping to create relevant products and service offerings by working with priority global Practice Areas, to leading and executing analytics work and continuing to expand the analytical foundation and competitive value proposition. The LDS will collaborate directly client and wider BCG case teams and will manage the analytics components of client deliverables. The LDS is responsible for clarifying initial objectives, setting up analytics work plan and methodology, organizing the data scientist members of the team, quality assurance, and managing scope and work planning throughout the project.
The LDS is expected to provide mentoring, coaching, and career development to (senior) analytics associate and data scientist team members on both a formal and informal basis.
As the field of advanced analytics is rapidly evolving, the LDS is responsible for staying current on leading-edge business applications, tools and approaches, proactively working with the Analytics
Leadership to enhance offerings that deliver competitive advantage to BCG.

KEY COMPETENCIES:
Deep Technical and Data Science Expertise : The successful candidate will have a wealth of experience with applying advanced analytics to a variety of business situations, such that they can efficiently and effectively advise multiple teams on the best path to uncovering critical insights for clients.
Experience in core analytics methods (one or more of the following): Statistics (t-tests, ANOVA), variable reduction (FA, PCA), Segmentation/clustering techniques , Geographic cluster recognition and manipulation techniques, Predictive modeling: e.g. logistic regression, linear regression, Network analysis (location-allocation, travelling sales person, vehicle routing problem), Time series analysis: e.g. ARIMA, VAR, etc., Machine learning: e.g. LCA, Random Forest, neural networks, Spatio-temporal analysis, Time series analysis (ARIMA, VAR, etc.), Text mining unstructured data analytics, Simulation: e.g. MC, dynamic, discrete event, Optimization: e.g. linear programming, heuristic
Familiarity with a broad base of analytics tools (one or more of the following): Data management: e.g. Excel, SQL, PostGRESql, Hadoop/Hive, Alteryx, Analytics platforms: e.g. SAS, R, RapidMiner, SPSS, Data visualization: e.g. Tableau, GIS toolkits (ESRI, Quantum GIS, MapInfo or similar), ESRI Network Analyst, RouteSmart, RoadNet or similar, GPS data analysis a plus, Programming and/or scripting experience: e.g. Python, C#, VBA, Java, Perl, etc.
Experience in applied analytics for business problem solving : Eg. Extensive experience building analytical solutions for (one or more of the following), Pricing and promotional effectiveness, Delivery fleet consolidation, Loyalty program effectiveness, Network real estate reorganization, Customer segmentation and targeting, Delivery footprint/territory expansion (or reduction), Customer LTV maximization, Cost modeling of transportation logistics operations, Churn prevention, Strong project management skills, Others a plus
Analytical and Conceptual thinking: A successful candidate will be able to conceptualize business problems and drive frameworks. The LDS will produce leading edge business models and must be able to work in a hypothesis-based environment where inductive rather than deductive thinking is the norm.
Engagement Management and Work with Case Teams: The successful candidate will have demonstrated ability to manage engagements, client relationships, provide thought leadership to teams and able to act as a full member of a BCG project team. They must own analytical modules from work planning to creating impact. He/she must scope, manage and lead work for data science teams, providing expertise on methodology of advanced analytics. Strong presence, strong collaborator and leadership skills and ability to operate effectively in a matrix organization are a must.
Client Relationship Management: The candidate with have a demonstrated ability to communicate effectively and professionally with clients, delivering impactful solutions and presenting work in a concise and thoughtful manner, while demonstrating technical expertise (fluency in English is required). Strong business focus with experience with 80/20 approaches.
Analytics Innovation: Must be an autonomous self starter with a passion for analytics and problem solving. He/she will help build new Analytics service offerings that grow our portfolio of products and will captures proprietary content as well as analytics insights to the knowledge infrastructure. The candidate will support the creation of proposal/selling documents and provide perspective on relevant Analytics value propositions.

Personnel Development: The successful candidate will have demonstrated ability to guide junior data scientists in their consulting skill sets, motivate them, and build the company s foundation for future growth. This will take place in both formal and ad-hoc settings.


7 years of relevant industry work experience in a field linked to business analytics, statistics or geo- statistics, operations research, geography, applied mathematics, computer science, engineering, or related field Looking for individuals with deep technical and data science expertise, acute strategic and analytical skills, ability to lead and persuade, drive and energy, and desire to work in a project based environment on strategic issues. Strong record of professional accomplishment and leadership. Demonstrated ability to lead and manage projects and teams.
RoleSoftware Developer
Industry TypeStrategy, Management Consulting Firms
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required
Key Skills
Data analysisOperations researchdata scienceData managementBusiness analyticsConsultingManagement consultingBusiness strategySPSSSQL"
6,DBCG IND - GAMMA Senior Data Scientist,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru",Boston Consulting Group,3-6 Yrs,"     What Youll Do

We re looking for a passionate and talented Senior Data Scientist to join our rapidly growing team.
In this role, you ll have the chance to roll up your sleeves and apply data science methods and analytics to real-world business situations across a variety of industries.
As the field of advanced analytics is rapidly evolving, the SDS is responsible for staying current on leading-edge business applications, tools and approaches, proactively working with the Analytics Leadership to enhance offerings that
deliver competitive advantage to BCG.
Successful candidates are intellectually curious builders who are biased toward action, scrappy, and communicative.
You will also get the chance to travel: we have clients across the globe Make sure your passport is ready to go!
 


WHO YOU ARE. YOU:
Have deep technical and Data Science expertise: The successful candidate will have a wealth of experience with applying advanced analytics to a variety of business situations, such that they can efficiently and effectively advise multiple teams on the best path to uncovering critical insights for clients.
Are an autonomous self-starter with a passion for analytics and problem solving. You will help build new Analytics service offerings that grow our portfolio of products and will captures proprietary content, and support the creation of proposal/selling documents.
Are comfortable managing engagements, client relationships, and acting as a thought Leader. Strong presence, strong collaborator and leadership skills and ability to operate effectively in a matrix organization are a must.
Love building things and are comfortable working with modern development tools and writing code collaboratively (bonus points if you have a software development or DevOps experience)
Have significant experience applying advanced analytics to a variety of business situations and a proven ability to synthesize complex data; as well as a deep understanding of modern machine learning techniques and their mathematical underpinnings, and are able to translate this into business implications for our clients
Have strong project management skills
Master s Degree with significant relevant experience providing advanced analytics solutions, or relevant PhD in computer science, applied mathematics, statistics, machine learning, or a related data centric field.
Demonstrated deep technical and data science expertise, acute strategic and analytical skills, ability to lead and persuade, drive and energy, and desire to work in a project based environment on strategic issues.
Strong record of professional accomplishment and leadership.
Fluency in at least one scripting language (e.g. Python, R)
Fluency in English and local office language are required
Fast-paced, intellectually intense, service-oriented environment
Position is located in either Chennai, Mumbai, Delhi-NCR or Bengaluru
Expect up to 60-80% of time spent traveling
RoleSoftware Developer
Industry TypeStrategy, Management Consulting Firms
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required
Key Skills
Computer scienceadvanced analyticsSDSdata scienceArtificial IntelligenceProject managementMachine learningManagement consultingBusiness strategyPython"
7,Data Scientist/Senior Data Scientist,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,4-8 Yrs," 
About Ganit Inc

Founded by senior industry experts, Ganit is the fastest-growing data science company in Chennai with offices in Bengaluru, Mumbai & New Jersey.
Ganit has flipped the data science value chain as we do not start with a technique but for us, consumption comes first. With this philosophy, we have successfully scaled from being a small start-up to a 200 resource company with clients in the US, Singapore, Africa, UAE, and India.
We are looking for experienced data enthusiasts who can make the data talk to them.

What you will be doing.

Understand business problems and translate business requirements into technical requirements.

Conduct complex data analysis to ensure data quality & reliability i.e., make the data talk by extracting, preparing, and transforming it.

Identify, develop and implement statistical techniques and algorithms to address business challenges and add value to the organization.

Gather requirements and communicate findings in the form of a meaningful story with the Stakeholders.

Build & implement data models using predictive modeling techniques. Interact with clients and provide support for queries and delivery adoption.

Lead and mentor data analysts.

What we are looking for:
Apart from your love for data and ability to code even while sleeping you would need the following.

Minimum of 04 years of experience in designing and delivery of data science solutions.

You should have successful projects in Manufacturing in your kitty to show-off. (Experience on manufacturing analytics is a MUST)

Deep understanding of various statistical techniques, mathematical models, and algorithms to start the conversation with the data in hand.

Ability to choose the right model for the data and translate that into a code using R, Python, VBA, SQL, etc.

Bachelors/Masters degree in Engineering/Technology or
MBA from Tier-1 B School or
MSc. in Statistics or Mathematics

What is in it for you:

Be a part of building the biggest brand in Data science.
An opportunity to be a part of a young and energetic team with a strong pedigree.
Work on awesome projects across industries and learn from the best in the industry, while growing at a hyper rate.
RoleData Analyst
Industry TypeAutomobile, Auto Anciliary, Auto Components
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI
Education
UG :Any Graduate in Any Specialization
Key Skills
Predictive ModelingManufacturing AnalyticsPython
Data ScienceRData QualityAlgorithmsVBAData AnalysisAnamoly detectionStatisticsSQL
Skills highlighted with ‘‘ are preferred keyskills"
8,Senior Data Scientist | CES IT LTD | CMMI Level 5,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",CES Ltd.,3-8 Yrs," Roles and Responsibilities

Must have strong Python Programming Skills
Strong analytical & algorithm development skills
Logical and Analytical skills must be really strong
Must have worked in DeepLearning Efforts - Especially computer vision.
Must have experinece with Object Detection - Custom model training for Object detection
Should have experience with atleast one or more of these - Tensorflow, Keras, PyTorch

Primary Skills - Python + tensorflow - Keras / PyTorch, OpenCV
Perks and Benefits

Kindly share your resume to kandavelkumar.lakshmanan @cesltd.com

RoleTechnical Architect
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate in Any Specialization
Key Skills
TensorflowObject DetectionAlgorithm DevelopmentAnalytical SkillsProgrammingMachine LearningDeep LearningPytorchData ScienceROpencvKerasComputer VisionPython"
9,Global Medical Data Scientist,Bangalore/Bengaluru,GlaxoSmithKline Pharmaceuticals Limited,4-8 Yrs,Not Available
