,Name,Team,Rating,Career_best_rating
0,Virat Kohli,IND,870," 911 v England, 12/07/2018 "
1, Rohit Sharma ,IND,842,"          885 v Sri Lanka, 06/07/2019  "
2, Babar Azam ,PAK,837,"          846 v Sri Lanka, 20/10/2017  "
3, Ross Taylor ,NZ,818,"          841 v Bangladesh, 05/06/2019  "
4, Aaron Finch ,AUS,791,"          798 v England, 25/06/2019  "
5, Francois du Plessis ,SA,790,"          820 v Australia, 06/07/2019  "
6, David Warner ,AUS,773,"          880 v Pakistan, 26/01/2017  "
7, Shai Hope ,WI,773,"          808 v Bangladesh, 17/05/2019  "
8, Kane Williamson ,NZ,765,"          799 v India, 09/07/2019  "
9, Quinton de Kock ,SA,755,"          813 v Sri Lanka, 10/03/2019  "
