,Brand Name,Name of Product,Rating,No of Ratings,Price,Return/Exchange,Expected Delivery,Availability,Other details,Product URL
0,Fire-Boltt,"  Blast 1400 Over -Ear Bluetooth Wireless Headphones with 25H Playtime, Thumping Bass, Lightweight Foldable Compact Design with Google/Siri Voice Assistance",4.1 out of 5 stars,"3,520 ratings","₹ 2,499.00",7 Days Replacement,"Saturday, April 24",In stock.,"Brand Fire-Boltt---Manufacturer Fire-Boltt, Boltt Games Pvt Ltd---Model BH1400---Model Name BH1400---Product Dimensions 8 x 19 x 25 cm; 100 Grams---Batteries 1 Lithium ion batteries required. (included)---Item model number BH1400---Special Features Foldable---Mounting Hardware 1 Headphone. 1 Charger Cable, 1 Aux, 1 Manual---Number Of Items 1---Microphone Form Factor Built-In---Headphones Form Factor Over Ear---Batteries Included Yes---Batteries Required Yes---Battery Cell Composition Lithium Ion---Connector Type Wireless---Material Aluminium---Includes Rechargable Battery Yes---Manufacturer Fire-Boltt---Country of Origin China---Item Weight 100 g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0360053DZO4XAFUVMWY&url=%2FFire-Boltt-Bluetooth-Headphones-Lightweight-Assistance%2Fdp%2FB0814GJNKG%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1619093829%26sr%3D8-1-spons%26psc%3D1&qualifier=1619093829&id=4550347381539116&widgetName=sp_atf
1,boAt,  Rockerz 450 Bluetooth On-Ear Headphone with Mic(Luscious Black),4.0 out of 5 stars,"21,368 ratings","₹ 1,499.00",7 Days Replacement,"Saturday, April 24",In stock.,"Brand Boat---Manufacturer Imagine Marketing Pvt Ltd, Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063---Model Rockerz 450---Model Name Rockerz 450---Product Dimensions 17.5 x 7.8 x 17.6 cm; 200 Grams---Batteries 1 Lithium ion batteries required. (included)---Item model number Rockerz 450---Compatible Devices All Bluetooth Devices---Special Features Android Phone Control, IOS Phone Control, Lightweight, Volume-Control, Foldable, Microphone Feature---Mounting Hardware User Manual, Rockerz 450, Warranty Card, Charging Cable---Number Of Items 4---Microphone Form Factor In-Line;Built-In---Headphones Form Factor On Ear---Batteries Included Yes---Batteries Required Yes---Battery Cell Composition Lithium---Connector Type Wireless---Includes Rechargable Battery Yes---Manufacturer Imagine Marketing Pvt Ltd---Country of Origin China---Item Weight 200 g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00543312YD54X25M25WJ&url=%2FRockerz-450-Wireless-Bluetooth-Headphone%2Fdp%2FB07PR1CL3S%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1619093829%26sr%3D8-2-spons%26psc%3D1&qualifier=1619093829&id=4550347381539116&widgetName=sp_atf
2,pTron,"  Boom Ultima 4D Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control & Passive Noise Cancelling Boom 3 Earphones - (Dark Blue)",3.8 out of 5 stars,"14,804 ratings",₹ 499.00,7 Days Replacement,"Tuesday, April 27",In stock.,"Brand PTron---Manufacturer Palred Technology Shenzhen Co Ltd, Building A1, Red Box Creative Park, No. 3 Huancheng South Road, Bantian Street, Longgang District, Shenzhen City, China 518116.---Model Boom Ultima---Model Name Boom Ultima---Product Dimensions 120 x 0.8 x 0.8 cm; 30 Grams---Item model number Boom Ultima---Hardware Platform Laptop, PC, Tablet, Smartphone---Compatible Devices All Smartphones, Tablets & Other Devices with 3.5mm Audio Interface---Special Features High Bass Dual Driver Earphones; In-Ear Design; Ergonomic Earbuds; Clear Voice & Stereo Sound Audio; Built-in Mic; Volume & Music Controls; Voice Assistant; Lightweight; Durable Headphones; Universal 3.5mm Audio Jack Gold-plated; 1.2m Tangle-free Cable; Widely Compatible with 3.5mm Aux Connector Devices; 1-Year Warranty---Mounting Hardware 1 Wired Earphone, 1 Zip Pouch, Extra Ear tips---Number Of Items 2---Audio Output Mode Stereo---Microphone Form Factor In-Line---Headphones Form Factor In Ear---Batteries Required No---Connector Type Wired---Material Plastic---Manufacturer Palred Technology Shenzhen Co Ltd---Country of Origin China---Imported By Palred Electronics Pvt. Ltd.---Item Weight 30 g",https://www.amazon.in/Boom-Ultima-Headphones-Cancelling-Earphones/dp/B08D75R3Z1/ref=sr_1_3?dchild=1&keywords=headphones&qid=1619093829&sr=8-3
3,Boult,"  Audio Bass Buds Q2 Over-Ear Wired Lightweight Stereo Headphones, Deep Bass & in-Built Mic, Headset with Comfortable Ear Cushions, Long Cord (Black)",3.9 out of 5 stars,"1,930 ratings",₹ 499.00,7 Days Replacement,"Saturday, April 24",In stock.,"Brand Boult Audio---Manufacturer Exotic Mile, Manufaturer - Exotic Mile, 9555-602-502---Model BassBud Q2 Wired---Model Name BassBud---Product Dimensions 18 x 22 x 9 cm; 150 Grams---Item model number BassBud Q2 Wired---Hardware Platform Laptop, PC, Tablet---Compatible Devices Windows, IOS, Android---Special Features Over-ear---Mounting Hardware Q2 Headphone---Number Of Items 1---Microphone Form Factor In-Line, Built-In---Headphones Form Factor Over Ear---Batteries Required No---Connector Type Wired---Manufacturer Exotic Mile---Country of Origin China---Item Weight 150 g",https://www.amazon.in/Boult-Audio-Wired-Lightweight-Comfortable/dp/B08FY4FG5X/ref=sr_1_4?dchild=1&keywords=headphones&qid=1619093829&sr=8-4
4,boAt,  Bassheads 900 On Ear Wired Headphones(Carbon Black),4.2 out of 5 stars,"33,052 ratings",₹ 749.00,7 Days Replacement,"Saturday, April 24",In stock.,"Brand Boat---Manufacturer Imagine Marketing Pvt Ltd, Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063---Model Bassheads 900 Black---Model Name BassHeads---Product Dimensions 19 x 15 x 3.1 cm; 150 Grams---Batteries 1 Lithium ion batteries required.---Item model number Bassheads 900 Black---Compatible Devices All 3.5mm Jack device---Special Features Android Phone Control, IOS Phone Control, Tangle-Free Cord, Lightweight, Foldable, Microphone Feature---Mounting Hardware Warranty Card, Bassheads 900---Number Of Items 2---Microphone Form Factor With Microphone---Headphones Form Factor On Ear---Batteries Included No---Batteries Required No---Battery Cell Composition Lithium Ion---Connector Type Wired---Manufacturer Imagine Marketing Pvt Ltd---Country of Origin China---Item Weight 150 g",https://www.amazon.in/Boat-BassHeads-900-Wired-Headphone/dp/B074ZF7PVZ/ref=sr_1_5?dchild=1&keywords=headphones&qid=1619093829&sr=8-5
5,boAt,"  Rockerz 550 Over-Ear Wireless Headphone with Ergonomic Aesthetics, Plush Padded Earcups, Immersive Audio, Bluetooth v5.0 & Upto 20H Playback (Black)",4.1 out of 5 stars,"7,382 ratings","₹ 1,999.00",7 Days Replacement,"Saturday, April 24",In stock.,"Brand Boat---Manufacturer boAt---Model Rockerz 550---Model Name Rockerz 550---Product Dimensions 16.2 x 8.6 x 22.4 cm; 245 Grams---Batteries 1 Lithium ion batteries required. (included)---Item model number Rockerz 550---Compatible Devices Windows, iOS, Android---Special Features Over-ear---Mounting Hardware 1xRockerz 550, 1xUSB Charging Cable, 1xAUX Cable---Number Of Items 1---Microphone Form Factor With microphone---Headphones Form Factor Over Ear---Batteries Included Yes---Batteries Required Yes---Battery Cell Composition Lithium---Connector Type Bluetooth---Manufacturer boAt---Country of Origin China---Item Weight 245 g",https://www.amazon.in/Boat-Rockerz-550-Headphone-Aesthetics/dp/B0856HY85J/ref=sr_1_6?dchild=1&keywords=headphones&qid=1619093829&sr=8-6
6,boAt,  Rockerz 450 Bluetooth On-Ear Headphone with Mic(Luscious Black),4.0 out of 5 stars,"21,368 ratings","₹ 1,499.00",7 Days Replacement,"Saturday, April 24",In stock.,"Brand Boat---Manufacturer Imagine Marketing Pvt Ltd, Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063---Model Rockerz 450---Model Name Rockerz 450---Product Dimensions 17.5 x 7.8 x 17.6 cm; 200 Grams---Batteries 1 Lithium ion batteries required. (included)---Item model number Rockerz 450---Compatible Devices All Bluetooth Devices---Special Features Android Phone Control, IOS Phone Control, Lightweight, Volume-Control, Foldable, Microphone Feature---Mounting Hardware User Manual, Rockerz 450, Warranty Card, Charging Cable---Number Of Items 4---Microphone Form Factor In-Line;Built-In---Headphones Form Factor On Ear---Batteries Included Yes---Batteries Required Yes---Battery Cell Composition Lithium---Connector Type Wireless---Includes Rechargable Battery Yes---Manufacturer Imagine Marketing Pvt Ltd---Country of Origin China---Item Weight 200 g",https://www.amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S/ref=sr_1_7?dchild=1&keywords=headphones&qid=1619093829&sr=8-7
7,JBL,  C100SI In-Ear Deep Bass Headphones with Mic (Black),4.0 out of 5 stars,"132,743 ratings",₹ 649.00,7 Days Replacement,"Saturday, April 24",,"Brand JBL---Manufacturer Harman International Industries, Inc---Model JBLC100SIUBLK---Model Name C100SI---Model Year 2016---Product Dimensions 6 x 3 x 17.5 cm; 50 Grams---Item model number JBLC100SIUBLK---Compatible Devices Audio Player , Laptop, Mobile, Tablet---Special Features With microphone---Mounting Hardware Headphones, 3 x Ear Tips, Warranty and Safety Card---Number Of Items 1---Colour Screen No---Microphone Form Factor With Microphone---Microphone Technology With microphone---Headphones Form Factor In Ear---Voltage 0.1 Volts---Batteries Included No---Batteries Required No---Connector Type Wired---Contains Liquid Contents No---Has Self Timer No---Remote Control Included? No---Manufacturer Harman International Industries, Inc---Country of Origin China---Imported By Harman International (India) Pvt Ltd, Prestige Technology Park, 4th Floor, Jupiter 2A, Marathali Ring Rod, Bangalore 560103, India---Item Weight 50 g",https://www.amazon.in/JBL-C100SI-Ear-Headphones-Black/dp/B01DEWVZ2C/ref=sr_1_8?dchild=1&keywords=headphones&qid=1619093829&smid=A14CZOWI0VEHLG&sr=8-8
8,pTron,"  Studio Over-Ear Bluetooth 5.0 Wireless Headphones, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port & Mic - (Black)",3.9 out of 5 stars,"2,582 ratings",₹ 799.00,7 Days Replacement,"Saturday, April 24",,"Brand PTron---Manufacturer Palred Technology Shenzen Co Ltd---Model Studio---Model Name Studio---Product Dimensions 17 x 3.5 x 17 cm; 150 Grams---Batteries 1 Lithium Polymer batteries required. (included)---Item model number Studio---Compatible Devices Tablets, Laptop/Desktop Computer, Other Bluetooth Enabled Audio Devices, All Smartphones---Special Features Wireless---Mounting Hardware Headphones, Manual, Aux Cable, Charging Cable---Number Of Items 4---Microphone Form Factor With microphone---Headphones Form Factor Over Ear---Battery Average Life 12 Hours---Batteries Included Yes---Batteries Required Yes---Battery Cell Composition Lithium Polymer---Connector Type Wireless---Material Plastic---Has Self Timer No---Manufacturer Palred Technology Shenzen Co Ltd---Country of Origin China---Imported By Palred Electronics Pvt. Ltd., Plot no. 2, 8-2-703/2/B, Road no. 12, Banjara Hills, Hyderabad – 500034 India---Item Weight 150 g",https://www.amazon.in/pTron-Studio-Wireless-Bluetooth-Headphones/dp/B07XL8HFNC/ref=sr_1_9?dchild=1&keywords=headphones&qid=1619093829&smid=A14CZOWI0VEHLG&sr=8-9
9,boAt,  Rockerz 510 Bluetooth On-Ear Headphone with Mic(Furious Blue),4.3 out of 5 stars,"29,987 ratings","₹ 1,899.00",7 Days Replacement,"Saturday, April 24",In stock.,"Brand Boat---Manufacturer Imagine Marketing Pvt Ltd, Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063---Model Rockerz-510---Model Name Rockerz---Product Dimensions 19 x 7.5 x 20 cm; 230 Grams---Batteries 1 Lithium Polymer batteries required. (included)---Item model number rockerz-510---Hardware Platform PC, Tablet, Smartphone---Compatible Devices IOS and Android devices---Special Features Wireless---Mounting Hardware User Manual, Warranty Card, Charging Cable, Rockerz 510---Number Of Items 4---Microphone Form Factor With microphone---Headphones Form Factor On Ear---Battery Average Life 20 Hours---Batteries Included Yes---Batteries Required Yes---Battery Cell Composition Lithium Polymer---Connector Type Wireless---Material Faux Leather, Aluminum---Includes Rechargable Battery Yes---Manufacturer Imagine Marketing Pvt Ltd---Country of Origin China---Item Weight 230 g",https://www.amazon.in/Boat-Rockerz-510-Bluetooth-Headphones/dp/B0749D4QM9/ref=sr_1_10?dchild=1&keywords=headphones&qid=1619093829&sr=8-10
